order_id,restaurant_id,delivery_person_id,distance_km,order_time,delivery_time,traffic_level,weather,vehicle_type,city
1,120,282,4.37,2024-01-01 14:20:00,2024-01-01 14:58:54,Medium,Rainy,Scooter,Chennai
2,187,299,1.9,2024-01-16 06:02:00,2024-01-16 06:14:52,High,Clear,Bike,Hyderabad
3,163,259,2.29,2024-01-29 12:50:00,2024-01-29 13:04:08,Medium,Clear,Car,Chennai
4,121,288,2.65,2024-01-14 17:29:00,2024-01-14 18:00:39,High,Stormy,Bike,Mumbai
5,159,279,3.62,2024-01-18 19:38:00,2024-01-18 19:57:03,Low,Clear,Scooter,Bangalore
6,161,250,3.09,2024-01-14 06:38:00,2024-01-14 06:58:44,Low,Rainy,Car,Delhi
7,150,206,4.44,2024-01-01 21:07:00,2024-01-01 21:30:55,Low,Clear,Bike,Hyderabad
8,117,203,2.53,2024-01-11 01:42:00,2024-01-11 02:10:10,High,Stormy,Bike,Mumbai
9,152,201,9.48,2024-01-30 21:01:00,2024-01-30 22:16:29,Medium,Rainy,Bike,Delhi
10,170,243,7.16,2024-01-17 07:23:00,2024-01-17 08:17:08,Low,Rainy,Scooter,Mumbai
11,103,201,5.46,2024-01-29 11:14:00,2024-01-29 12:12:28,High,Stormy,Scooter,Bangalore
12,103,253,4.83,2024-01-10 07:37:00,2024-01-10 08:25:36,High,Rainy,Bike,Hyderabad
13,199,213,1.28,2024-01-05 18:33:00,2024-01-05 18:43:00,Low,Stormy,Car,Chennai
14,171,277,7.55,2024-01-09 00:14:00,2024-01-09 01:21:42,High,Rainy,Car,Hyderabad
15,123,225,2.76,2024-01-01 16:56:00,2024-01-01 17:13:52,Low,Clear,Scooter,Delhi
16,140,228,9.69,2024-01-28 03:39:00,2024-01-28 04:56:58,Medium,Clear,Bike,Chennai
17,107,287,8.22,2024-01-29 07:34:00,2024-01-29 08:41:33,Medium,Stormy,Bike,Hyderabad
18,180,207,1.13,2024-01-16 06:42:00,2024-01-16 06:52:00,High,Rainy,Bike,Bangalore
19,140,227,7.56,2024-01-09 19:06:00,2024-01-09 20:08:28,High,Clear,Car,Chennai
20,111,233,8.77,2024-01-22 04:55:00,2024-01-22 06:16:36,High,Rainy,Bike,Bangalore
21,143,285,1.86,2024-01-25 11:02:00,2024-01-25 11:22:34,Low,Stormy,Bike,Hyderabad
22,198,246,8.98,2024-01-04 12:16:00,2024-01-04 13:48:54,High,Rainy,Scooter,Delhi
23,126,208,7.42,2024-01-13 02:12:00,2024-01-13 03:12:54,Medium,Clear,Car,Chennai
24,141,276,7.4,2024-01-16 12:41:00,2024-01-16 13:43:57,Medium,Rainy,Car,Hyderabad
25,122,214,2.82,2024-01-29 20:03:00,2024-01-29 20:39:12,High,Rainy,Bike,Bangalore
26,112,231,7.8,2024-01-24 11:47:00,2024-01-24 12:36:42,Low,Clear,Bike,Chennai
27,105,227,6.39,2024-01-20 08:50:00,2024-01-20 09:30:50,Low,Clear,Bike,Mumbai
28,183,229,8.23,2024-01-03 12:27:00,2024-01-03 13:29:34,Low,Rainy,Car,Mumbai
29,126,261,8.95,2024-01-13 12:47:00,2024-01-13 13:37:11,Low,Clear,Car,Hyderabad
30,169,271,1.0,2024-01-07 13:54:00,2024-01-07 14:04:00,High,Stormy,Scooter,Delhi
31,123,278,5.81,2024-01-03 14:28:00,2024-01-03 15:11:19,High,Clear,Scooter,Delhi
32,187,251,2.51,2024-01-22 01:03:00,2024-01-22 01:31:04,Medium,Stormy,Car,Chennai
33,155,280,4.27,2024-01-28 07:53:00,2024-01-28 08:30:02,High,Stormy,Bike,Delhi
34,101,291,3.4,2024-01-20 21:53:00,2024-01-20 22:16:19,Low,Rainy,Car,Delhi
35,101,252,1.46,2024-01-18 01:08:00,2024-01-18 01:22:56,Low,Clear,Car,Hyderabad
36,169,231,5.41,2024-01-27 18:39:00,2024-01-27 19:30:56,High,Stormy,Bike,Chennai
37,137,223,6.33,2024-01-23 21:30:00,2024-01-23 22:22:38,Medium,Stormy,Car,Hyderabad
38,169,285,5.23,2024-01-29 03:45:00,2024-01-29 04:22:27,Low,Stormy,Bike,Mumbai
39,158,269,5.82,2024-01-11 11:27:00,2024-01-11 12:28:20,High,Stormy,Car,Hyderabad
40,119,258,7.26,2024-01-19 07:30:00,2024-01-19 08:28:31,Low,Stormy,Scooter,Mumbai
41,170,251,2.98,2024-01-25 03:14:00,2024-01-25 03:34:33,Low,Stormy,Car,Delhi
42,138,281,9.46,2024-01-13 17:43:00,2024-01-13 19:02:16,Low,Stormy,Scooter,Chennai
43,122,230,8.54,2024-01-02 06:02:00,2024-01-02 07:18:01,Medium,Stormy,Scooter,Delhi
44,106,215,8.9,2024-01-22 01:06:00,2024-01-22 02:13:48,Low,Stormy,Car,Delhi
45,100,247,8.35,2024-01-30 03:36:00,2024-01-30 04:17:32,Low,Clear,Scooter,Chennai
46,136,231,9.69,2024-01-15 12:52:00,2024-01-15 14:23:17,Medium,Stormy,Car,Mumbai
47,179,202,6.7,2024-01-30 20:56:00,2024-01-30 21:53:05,Low,Stormy,Scooter,Delhi
48,174,271,8.71,2024-01-09 11:03:00,2024-01-09 11:49:56,Low,Clear,Scooter,Hyderabad
49,165,253,8.07,2024-01-02 18:37:00,2024-01-02 19:27:45,Low,Rainy,Car,Delhi
50,132,267,5.04,2024-01-20 21:23:00,2024-01-20 21:56:50,Low,Stormy,Car,Hyderabad
51,107,206,3.14,2024-01-18 23:16:00,2024-01-18 23:39:41,Medium,Rainy,Scooter,Chennai
52,132,247,7.49,2024-01-04 06:55:00,2024-01-04 07:52:21,High,Clear,Bike,Mumbai
53,129,237,1.84,2024-01-29 08:18:00,2024-01-29 08:28:00,Low,Clear,Car,Hyderabad
54,153,207,9.81,2024-01-07 01:54:00,2024-01-07 03:29:25,Medium,Stormy,Bike,Mumbai
55,168,260,6.68,2024-01-23 11:12:00,2024-01-23 11:50:45,Low,Clear,Car,Mumbai
56,163,248,5.49,2024-01-26 23:30:00,2024-01-27 00:26:25,Low,Stormy,Scooter,Hyderabad
57,152,294,1.39,2024-01-13 21:49:00,2024-01-13 21:59:00,Low,Clear,Car,Delhi
58,184,231,9.67,2024-01-01 03:10:00,2024-01-01 04:11:43,Low,Clear,Car,Mumbai
59,194,253,8.66,2024-01-14 17:38:00,2024-01-14 18:46:37,Low,Stormy,Bike,Bangalore
60,145,223,7.26,2024-01-25 01:43:00,2024-01-25 02:33:23,Low,Stormy,Bike,Delhi
61,116,232,2.88,2024-01-03 18:54:00,2024-01-03 19:19:09,Low,Rainy,Scooter,Mumbai
62,147,238,2.23,2024-01-09 16:53:00,2024-01-09 17:11:43,Medium,Rainy,Bike,Delhi
63,123,212,3.64,2024-01-14 07:50:00,2024-01-14 08:12:49,High,Clear,Car,Delhi
64,135,244,1.73,2024-01-17 22:16:00,2024-01-17 22:26:00,Low,Clear,Scooter,Delhi
65,175,286,2.75,2024-01-09 08:39:00,2024-01-09 09:03:34,Medium,Clear,Bike,Hyderabad
