distance_km,traffic_level,weather,hour,delivery_time
4.37,low,clear,21,19.95
9.56,medium,clear,12,55.67
7.59,high,clear,15,61.71
6.39,low,cloudy,12,29.74
2.4,high,clear,3,21.91
2.4,low,rain,3,15.18
1.52,high,clear,10,10.0
8.8,high,cloudy,22,73.69
6.41,low,cloudy,13,33.65
7.37,medium,cloudy,2,46.7
1.19,low,rain,18,10.0
9.73,medium,cloudy,21,62.28
8.49,medium,rain,0,67.82
2.91,medium,clear,4,18.01
2.64,low,clear,16,13.43
2.65,low,clear,0,10.0
3.74,low,clear,18,15.42
5.72,low,clear,18,27.25
4.89,medium,clear,3,26.89
3.62,high,clear,18,25.53
6.51,medium,clear,5,35.73
2.26,medium,clear,14,13.93
3.63,high,rain,3,39.5
4.3,medium,clear,23,23.79
5.1,high,cloudy,0,42.93
8.07,medium,clear,23,50.26
2.8,low,rain,16,15.69
5.63,low,rain,10,31.57
6.33,medium,cloudy,16,41.64
1.42,low,cloudy,22,10.0
6.47,low,clear,0,27.69
2.53,medium,rain,8,22.02
1.59,medium,rain,13,14.7
9.54,medium,rain,14,73.72
9.69,low,cloudy,23,46.66
8.28,low,clear,0,41.9
3.74,medium,rain,1,31.8
1.88,high,clear,17,15.73
7.16,medium,clear,17,44.23
4.96,high,clear,5,37.98
2.1,high,rain,19,24.08
5.46,medium,clear,7,33.38
1.31,low,clear,0,10.0
9.18,medium,clear,14,53.06
3.33,medium,cloudy,9,21.77
6.96,medium,cloudy,3,43.61
3.81,medium,clear,9,22.31
5.68,medium,clear,10,30.89
5.92,low,cloudy,4,27.72
2.66,medium,rain,8,21.22
9.73,low,cloudy,4,46.28
7.98,high,clear,10,60.04
9.46,low,rain,2,59.27
9.05,low,clear,3,41.53
6.38,medium,clear,9,39.22
9.3,medium,clear,6,53.48
1.8,medium,clear,0,13.2
2.76,low,cloudy,5,15.54
1.41,medium,clear,7,10.0
3.93,low,clear,16,17.99
4.5,high,clear,23,35.06
3.44,high,clear,6,28.69
8.46,medium,clear,0,51.94
4.21,low,clear,8,21.61
3.53,medium,clear,10,20.73
5.88,low,cloudy,18,30.22
2.27,medium,cloudy,1,17.29
8.22,low,cloudy,22,39.44
1.67,high,clear,10,12.14
9.88,low,rain,2,62.28
7.95,medium,rain,16,66.91
2.79,medium,cloudy,9,19.78
1.05,medium,cloudy,2,10.0
8.34,low,clear,21,34.51
7.36,high,rain,2,79.32
7.56,medium,clear,20,42.39
7.94,medium,clear,6,43.47
1.67,low,clear,1,10.0
4.23,medium,clear,0,25.4
2.04,medium,rain,6,19.43
8.77,low,clear,19,39.54
6.61,low,clear,10,30.17
3.98,high,cloudy,22,35.86
1.57,low,clear,5,10.0
3.8,low,clear,22,18.14
3.93,medium,cloudy,3,25.27
7.57,high,cloudy,18,64.83
6.74,low,clear,20,29.36
8.98,medium,cloudy,18,56.15
5.25,low,clear,13,23.91
2.08,low,clear,2,12.66
7.42,low,clear,3,35.11
7.85,high,clear,7,59.04
6.05,low,cloudy,17,27.27
7.94,low,cloudy,3,35.94
5.44,medium,clear,10,34.46
5.7,high,clear,15,41.69
4.85,low,cloudy,2,23.36
1.23,medium,clear,6,10.0
1.97,low,clear,1,10.0
1.28,medium,rain,0,13.47
6.73,medium,cloudy,0,42.8
3.83,medium,rain,5,29.07
5.58,low,clear,18,24.62
9.17,low,cloudy,6,43.95
3.24,low,clear,23,15.46
4.69,low,clear,4,19.81
7.8,low,clear,20,31.28
3.06,high,clear,17,22.97
1.69,high,clear,23,10.22
3.61,high,clear,12,28.03
2.45,high,clear,0,16.37
9.37,medium,cloudy,9,59.32
8.27,medium,clear,8,48.74
6.7,low,clear,16,29.73
8.84,medium,clear,0,52.21
8.23,medium,clear,0,49.51
2.68,medium,cloudy,6,14.93
9.03,high,clear,3,68.95
5.85,low,cloudy,22,22.3
8.27,low,clear,20,37.71
9.06,high,clear,11,68.71
3.86,low,rain,15,22.35
1.99,medium,cloudy,13,13.44
3.05,high,clear,22,25.68
4.84,medium,cloudy,9,30.19
8.36,medium,clear,13,47.02
8.75,low,cloudy,6,43.64
1.06,low,cloudy,3,10.0
5.6,high,cloudy,1,45.8
4.76,medium,rain,23,41.43
3.0,medium,clear,17,17.67
2.08,low,cloudy,15,10.0
4.04,low,clear,8,14.59
9.49,high,clear,4,72.92
3.91,low,clear,8,19.32
5.67,medium,clear,7,29.93
7.33,low,cloudy,23,37.18
4.27,medium,clear,19,27.64
9.75,high,clear,15,78.36
9.66,medium,clear,19,57.17
3.27,low,clear,17,15.73
5.48,medium,rain,3,40.61
3.71,high,clear,15,32.58
3.56,medium,cloudy,3,21.76
1.33,high,cloudy,5,10.0
6.49,medium,cloudy,2,41.25
5.52,high,clear,17,45.25
1.46,medium,rain,14,16.37
3.51,low,clear,7,16.05
9.17,low,rain,17,59.77
3.16,low,clear,23,14.31
2.3,high,clear,22,15.52
5.41,high,clear,2,44.34
9.87,medium,cloudy,5,62.27
3.18,low,clear,21,17.38
7.05,low,clear,20,34.32
7.85,high,clear,23,61.28
3.14,medium,rain,14,29.37
7.55,low,cloudy,11,41.84
4.31,medium,clear,4,24.86
6.69,low,cloudy,6,31.5
6.7,low,clear,21,26.42
5.82,medium,clear,14,38.54
1.81,low,rain,6,10.52
8.52,high,clear,12,67.45
3.89,low,clear,2,16.02
2.68,low,clear,22,15.14
1.37,low,clear,12,10.0
6.32,high,clear,2,45.96
7.1,medium,clear,1,41.12
1.15,medium,clear,22,10.0
5.61,low,clear,3,26.44
3.04,low,clear,16,13.58
6.81,medium,clear,5,41.09
2.57,high,clear,10,19.08
7.22,high,cloudy,5,59.43
4.48,low,clear,21,18.99
9.43,medium,cloudy,1,64.77
2.24,high,cloudy,16,19.3
4.07,low,cloudy,2,16.18
2.02,high,clear,11,14.41
9.32,low,clear,13,42.13
8.9,high,clear,1,71.78
3.32,high,cloudy,21,30.0
6.94,high,clear,21,51.25
8.35,medium,cloudy,4,58.57
6.0,low,rain,9,37.74
5.77,high,clear,9,46.63
3.18,low,clear,20,12.0
1.84,low,cloudy,8,10.0
9.07,medium,clear,20,50.24
9.1,high,clear,12,63.11
6.7,high,rain,9,75.98
4.05,low,clear,5,18.65
4.14,high,rain,10,42.49
7.53,medium,cloudy,3,49.36
9.07,low,cloudy,13,45.28
8.98,low,clear,16,41.65
8.02,low,clear,19,38.51
6.78,low,clear,1,29.93
1.76,high,clear,9,11.7
2.45,medium,clear,2,15.99
9.09,medium,clear,6,54.78
6.46,high,clear,6,49.62
1.08,low,clear,0,10.0
1.91,high,cloudy,7,15.2
6.97,medium,clear,22,38.97
1.05,high,clear,0,10.0
2.45,low,cloudy,7,10.78
5.94,high,rain,13,64.61
7.23,low,clear,13,30.87
6.87,low,clear,1,30.11
3.02,high,clear,7,26.88
7.41,low,rain,18,45.87
3.14,medium,cloudy,9,18.61
3.93,medium,cloudy,6,27.63
7.72,medium,clear,12,43.06
6.85,low,clear,21,29.44
8.64,low,clear,20,40.03
6.92,low,cloudy,14,36.13
6.11,medium,cloudy,10,41.76
1.84,low,rain,13,10.1
4.31,low,clear,10,20.59
3.39,low,clear,1,14.32
3.2,low,clear,1,13.19
9.76,medium,cloudy,11,65.21
4.54,high,cloudy,14,37.1
9.03,low,clear,16,41.19
6.68,medium,clear,13,39.39
8.15,medium,clear,15,45.54
5.52,medium,clear,7,34.22
6.19,medium,rain,23,51.82
5.43,medium,clear,16,27.79
2.76,medium,cloudy,4,18.32
7.5,low,clear,11,32.2
3.53,medium,cloudy,5,24.91
1.22,medium,clear,17,10.0
6.81,low,cloudy,4,33.0
2.59,low,clear,5,12.38
9.46,high,clear,8,72.48
